X,Y,Intersecti,Location,Longitude,Latitude,TSIs,TSIscont
-91.995072,30.226246,1.00000000000,PINHOOK @ SIMCOE,-91.99507200000,30.22624600000,001_Simcoe St @ Pinhook Rd Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\001_Simcoe St @ Pinhook Rd Layout1-A (1).pdf#,
-91.99984,30.229605,2.00000000000,SIMCOE @ 12TH,-91.99984000000,30.22960500000,002_Simcoe St_ @ Twelfth St Layout1-A(1).pdf#\\Becky-34318\TSI - .pdf's\002_Simcoe St_ @ Twelfth St Layout1-A(1).pdf#,
-92.007809,30.230583,3.00000000000,SIMCOE @ JEFFERSON/SURREY,-92.00780900000,30.23058300000,003_Simcoe St @ Jefferson St_-Surrey St Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\003_Simcoe St @ Jefferson St_-Surrey St Layout1-A (1).pdf#,
-92.009086,30.230698,4.00000000000,MOSS @ SIMCOE,-92.00908600000,30.23069800000,004_Moss St_ @ Simcoe St Layout1-A(1).pdf#\\Becky-34318\TSI - .pdf's\004_Moss St_ @ Simcoe St Layout1-A(1).pdf#,
-92.01309,30.231028,5.00000000000,NB THRUWAY @ SIMCOE,-92.01309000000,30.23102800000,005_Evangeline Thruway NB @ Simcoe St Layout1-A(1).pdf#\\Becky-34318\TSI - .pdf's\005_Evangeline Thruway NB @ Simcoe St Layout1-A(1).pdf#,005_Evangeline Thruway NB @ Simcoe St Layout1-B (1).pdf#\\Becky-34318\TSI - .pdf's\005_Evangeline Thruway NB @ Simcoe St Layout1-B (1).pdf#
-92.013766,30.231073,6.00000000000,SB THRUWAY @ SIMCOE,-92.01376600000,30.23107300000,006_Evangeline Thruway SB @ Simcoe St Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\006_Evangeline Thruway SB @ Simcoe St Layout1-A (1).pdf#,006_Evangeline Thruway SB @ Simcoe St Layout1-B(1).pdf#\\Becky-34318\TSI - .pdf's\006_Evangeline Thruway SB @ Simcoe St Layout1-B(1).pdf#
-92.018806,30.230674,7.00000000000,SIMCOE @ PIERCE,-92.01880600000,30.23067400000,007_Simcoe St_@ Pierce St Layout1-A(1).pdf#\\Becky-34318\TSI - .pdf's\007_Simcoe St_@ Pierce St Layout1-A(1).pdf#,
-92.030451,30.229311,8.00000000000,UNIVERSITY @ AGNES/SIMCOE,-92.03045100000,30.22931100000,008_University Ave_ @ Simcoe St Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\008_University Ave_ @ Simcoe St Layout1-A (1).pdf#,
-92.0023,30.234571,9.00000000000,LOUISIANA @ CARMEL,-92.00230000000,30.23457100000,009_Louisiana Ave_@ Carmel Dr Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\009_Louisiana Ave_@ Carmel Dr Layout1-A (1).pdf#,
-92.002689,30.231739,10.00000000000,LOUISIANA @ MUDD,-92.00268900000,30.23173900000,010_Louisiana Ave_@ Mudd Ave Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\010_Louisiana Ave_@ Mudd Ave Layout1-A (1).pdf#,
-92.009452,30.224875,11.00000000000,NB THRUWAY @ LOUISIANA,-92.00945200000,30.22487500000,011_Evangeline Thruway NB @ Louisiana Ave Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\011_Evangeline Thruway NB @ Louisiana Ave Layout1-A (1).pdf#,011_Evangeline Thruway NB @ Louisiana Ave Layout1-B (1).pdf#\\Becky-34318\TSI - .pdf's\011_Evangeline Thruway NB @ Louisiana Ave Layout1-B (1).pdf#
-92.010323,30.22456,12.00000000000,SB THRUWAY @ JOHNSTON,-92.01032300000,30.22456000000,012_Evangeline Thruway SB @ Johnston St Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\012_Evangeline Thruway SB @ Johnston St Layout1-A (1).pdf#,012_Evangeline Thruway SB @ Johnston St Layout1-B (1).pdf#\\Becky-34318\TSI - .pdf's\012_Evangeline Thruway SB @ Johnston St Layout1-B (1).pdf#
-92.014468,30.22438,13.00000000000,JOHNSTON @ CYPRESS/GARFIELD,-92.01446800000,30.22438000000,013-John-Cypress-Garfield Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\013-John-Cypress-Garfield Layout1-A (1).pdf#,
-92.015281,30.223125,14.00000000000,JOHNSTON @ VERMILION,-92.01528100000,30.22312500000,014_Johnston St_@ Vermilion St Layout1 (1).pdf#\\Becky-34318\TSI - .pdf's\014_Johnston St_@ Vermilion St Layout1 (1).pdf#,
