devicenum,locationgroup,locationgroupdevicenum,location,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail
1,UniversityOfLafayette,1,Research Park - CGI,"538 Cajundome Blvd, Lafayette, LA 70506",,,,,,,,
2,UniversityOfLafayette,2,Research Park - Bus Stop at Athlectics Complex,"Reinhardt Drive, Lafayette, LA 70506",,,,,,,,
3,UniversityOfLafayette,3,Main Campus - Rex Street Bus Stop on Main Campus,"110 Rex Street, Lafayette, LA 70503",,,,,,,,
4,UniversityOfLafayette,4,Main Campus - Taft Street Parking Garage,"714 W. Taft St. Lafayette, LA 70503",,,,,,,,
5,UniversityOfLafayette,5,Main Campus - Stokes Hall Parking Garage,"311 East Lewis St. Lafayette, LA 70503",,,,,,,,
6,UniversityOfLafayette,6,Main Campus - Olivier Oarking Garage,"619 McKinley St. Lafayette, LA 70504",,,,,,,,
7,UniversityOfLafayette,7,Main Campus - UL Child Devleopment Center,"160 East Lewis Lafayette, LA 70504",,,,,,,,
8,UniversityOfLafayette,8,Ecology Center,"703 Thoroughbred Drive Lafayette, LA 70507",,,,,,,,
9,UniversityOfLafayette,9,Ecology Center,"704 Thoroughbred Drive Lafayette, LA 70507",,,,,,,,
10,UniversityOfLafayette,10,Cade Farm,"1177 W.J. Bernard Rd. St. Martinville, LA 70582",,,,,,,,
11,UniversityOfLafayette,11,Cade Farm,"1178 W.J. Bernard Rd. St. Martinville, LA 70582",,,,,,,,
12,UniversityOfLafayette,12,Slemco Energy Center,"3420 NE Evangeline Throughway Lafayette, LA",,,,,,,,
13,Lafayette Consolidated Government Offices,1,Rosa Parks Transportation Center,"101 Jefferson St. Lafayette, LA 70501",,,,,,,,
14,Lafayette Consolidated Government Offices,2,City Hall,"705 W. University Ave Lafayette, LA 70506",,,,,,,,
15,Lafayette Consolidated Government Offices,3,Public Works Building,"400 Dorset Ave. Lafayette, LA 70501",,,,,,,,
16,Lafayette Consolidated Government Offices,4,Clifton Chenier Center,"705 W. University Ave Lafayette, LA 70506",,,,,,,,
17,Lafayette Consolidated Government Offices,5,LUS,"1314 Walker Rd, Lafayette, LA 70506-1100",,,,,,,,
18,Lafayette Consolidated Government Offices,6,Department of Environmental Quality,"400 Dugas Rd, Lafayette, LA",,,,,,,,
19,Lafayette Public School System,1,Acadiana Middle ,"4201 Moss Street, Lafayette, LA 70507",,,,,,,,
20,Lafayette Public School System,2,Acadiana High,"315 Rue Du Be'Lier, Lafayette, LA 70506",,,,,,,,
21,Lafayette Public School System,3,Alice Boucher Elementary,"400 Patterson Street,  Lafayette, LA 70501",,,,,,,,
22,Lafayette Public School System,4,Broadmoore Elementary  ,"609 Broadmoor Boulevard, Lafayette, La 70503",,,,,,,,
23,Lafayette Public School System,5,Broussard Middle ,"1325 S. Morgan Avenue, Broussard, LA 70518",,,,,,,,
24,Lafayette Public School System,6,Carencro Heights Elementary ,"601 Tee Ma Road, Carencro, LA 70520",,,,,,,,
25,Lafayette Public School System,7,Carencro Middle,"4301 N. University Avenue, Carencro, LA 70520",,,,,,,,
26,Lafayette Public School System,8,Carencro High,"721 W. Butcher Switch Road, Lafayette, LA 70507",,,,,,,,
27,Lafayette Public School System,9,Charles M. Burke Elementary,"2845 Ridge Road,  Duson, LA 70529",,,,,,,,
28,Lafayette Public School System,10,Comeaux High,"100 W. Bluebird Drive, Lafayette, LA 70508",,,,,,,,
29,Lafayette Public School System,11,Duson Elementary,"301 Fourth St.reet, Duson, LA 70529",,,,,,,,
30,Lafayette Public School System,12,Early College Academy,"320 Devalcourt, Lafayette, LA 70506",,,,,,,,
31,Lafayette Public School System,13,Edgar Martin Middle ,"401 Broadmoor Boulevard, Lafayette, LA 70503",,,,,,,,
32,Lafayette Public School System,14,Ernest Gallet,"2901 E. Milton Avenue, Youngsville, LA 70592",,,,,,,,
33,Lafayette Public School System,15,Evangeline Elementary ,"610 E. Butcher Switch, Lafayette, LA 70507",,,,,,,,
34,Lafayette Public School System,16,Green T. Lindon ,"603 Avenue B, Youngsville, LA 70592",,,,,,,,
35,Lafayette Public School System,17,Judice Middle,"2645 S. Fieldspan Road, Duson, LA 70529",,,,,,,,
36,Lafayette Public School System,18,J. W. Faulk ,"711 E. Willow Street, Lafayette, LA 70501",,,,,,,,
37,Lafayette Public School System,19,J. W. James ,"1500 W. Willow Street, Scott, LA 70583",,,,,,,,
38,Lafayette Public School System,20,Katharine Drexel Elementary,"409 St. Deporres Street, Broussard, LA 70518",,,,,,,,
39,Lafayette Public School System,21,Lafayette Middle ,"1301 W. University,  Lafayette, LA 70506",,,,,,,,
40,Lafayette Public School System,22,Lafayette High,"3000 W. Congress Street, Lafayette, LA 70506",,,,,,,,
41,Lafayette Public School System,23,L. G. Alleman (Middle),"600 Roselawn Boulevard, Lafayette, LA 70503",,,,,,,,
42,Lafayette Public School System,24,L. Leo Judice     ,"5801 Cameron Street, Scott, LA 70583",,,,,,,,
43,Lafayette Public School System,25,Live Oak Elementary ,"3020 N. University Avenue, Lafayette, LA 70507",,,,,,,,
44,Lafayette Public School System,26,Milton Elementary/Middle,"222 W. Milton Avenue, Milton, LA 70558",,,,,,,,
45,Lafayette Public School System,27,Myrtle Place (Elementary) ,"1100 Myrtle Place Boulevard, Lafayette, LA 70506",,,,,,,,
46,Lafayette Public School System,28,Northside High,"301 Dunand Street,  Lafayette, LA 70501",,,,,,,,
47,Lafayette Public School System,29,Ossun Elementary ,"400 Rue Scholastique, Lafayette, LA 70507",,,,,,,,
48,Lafayette Public School System,30,Paul Breaux (Middle) ,"1400 S. Orange Street, Lafayette, LA 70501",,,,,,,,
49,Lafayette Public School System,31,Plantation Elementary ,"1801 Kaliste Saloom Road, Lafayette, LA 70508",,,,,,,,
50,Lafayette Public School System,32,Prairie Elementary,"2910 Ambassador Caffery Parkway, Lafayette, LA 70506",,,,,,,,
51,Lafayette Public School System,33,Ridge Elementary,"2901 South Fieldspan Road, Duson, LA 70529",,,,,,,,
52,Lafayette Public School System,34,Scott Middle,"116 Marie Street, Scott, LA 70583",,,,,,,,
53,Lafayette Public School System,35,S. J. Montgomery (Elementary) ,"601 Foreman Drive,  Lafayette, LA 70501",,,,,,,,
54,Lafayette Public School System,36,Southside High,"312 Almonaster Road,  Youngsville, LA 70592",,,,,,,,
55,Lafayette Public School System,37,STEM Academy (Middle),"805 Teurlings Drive, Lafayette, LA 70501",,,,,,,,
56,Lafayette Public School System,38,Truman Elementary,"200 Clara Street, Lafayette, LA 70501",,,,,,,,
57,Lafayette Public School System,39,Westside Elementary,"912 Delhomme Avenue, Scott, LA 70583",,,,,,,,
58,Lafayette Public School System,40,Woodvale Elementary ,"100 Leon Drive, Lafayette, LA 70503",,,,,,,,
59,Lafayette Public School System,41,Youngsville Middle ,"600 Church Street, Youngsville, LA 70592",,,,,,,,
60,Lafayette Public Library System,1,Main Library,"301 W. Congress Street, Lafayette, LA 70501",,,,,,,,
61,Lafayette Public Library System,2,Butler Memorial Branch,"309 Cora Stree, Lafayette, LA 70501",,,,,,,,
62,Lafayette Public Library System,3,Chenier Branch,"220 West Willow Street, Bldg C, Lafayette, LA 70501",,,,,,,,
63,Lafayette Public Library System,4,Duson Branch,"310 Avenue au Nord, Duson, LA 70529",,,,,,,,
64,Lafayette Public Library System,5,East Regional Library,"215 La Neuville Road, Youngsville, LA 70591",,,,,,,,
65,Lafayette Public Library System,6,Milton Branch,"108 W. Milton Avenue,  Milton, LA 70558",,,,,,,,
66,Lafayette Public Library System,7,North Regional Library,"5101 North University Avenue , Carencro, LA 70520",,,,,,,,
67,Lafayette Public Library System,8,Scott Branch,"5808 West Cameron Street, Scott, LA 70583",,,,,,,,
68,Lafayette Public Library System,9,South Regional Library,"6101 Johnston Street, Lafayette, LA 70503",,,,,,,,
69,Hospitals,1,Lafayette General Medical Center,"1214 Coolidge Street, Lafayette, LA 70503",,,,,,,,
70,Hospitals,2,Medical Center of Southwest Louisiana,"2810 Ambassardor Caffery Parkway, Lafayette, LA 70506",,,,,,,,
71,Hospitals,3,Our Lady of Lordes ,"4801 Ambassador Caffery Parkway, Lafayette, LA 70508",,,,,,,,
72,Hospitals,4,"Surgery Center, Inc.","1101 S College Rd. #100, Lafayette, LA 70503",,,,,,,,
73,Hospitals,5,University Medical Center,"2390 West Congress Street, Lafayette, LA 70506",,,,,,,,
74,Hospitals,6,Women's & Childrens,"4600 Ambassador Caffery Parkway, Lafayette, LA 70508",,,,,,,,
75,Bayou Vermilion District Boat Launch Locations,1,North Boat Landing,"3604 Shadow Bluff Drive, Lafayette, LA 70507",,,,,,,,
