devicenum,organization,organizationdevicenum,site,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail,mqttgateway,mqttgroup
1,UniversityOfLafayette,1,Research Park - CGI,"538 Cajundome Blvd, Lafayette, LA 70506",-92.0421154,30.2210853,,,,,,,1,1
2,UniversityOfLafayette,2,Research Park - Bus Stop at Athlectics Complex,"Reinhardt Drive, Lafayette, LA 70506",-92.040337,30.2151275,,,,,,,1,1
3,UniversityOfLafayette,3,Main Campus - Rex Street Bus Stop on Main Campus,"110 Rex Street, Lafayette, LA 70503",-92.0212109,30.212946,,,,,,,1,1
4,UniversityOfLafayette,4,Main Campus - Taft Street Parking Garage,"714 W. Taft St. Lafayette, LA 70503",-92.0159061,30.2108141,,,,,,,1,1
5,UniversityOfLafayette,5,Main Campus - Stokes Hall Parking Garage,"311 East Lewis St. Lafayette, LA 70503",-92.0219189,30.20943299999999,,,,,,,1,1
6,UniversityOfLafayette,6,Main Campus - Olivier Oarking Garage,"619 McKinley St. Lafayette, LA 70504",-92.0163517,30.2118751,,,,,,,1,1
7,UniversityOfLafayette,7,Main Campus - UL Child Devleopment Center,"160 East Lewis Lafayette, LA 70504",-92.0238514,30.2108826,,,,,,,1,1
8,UniversityOfLafayette,8,Ecology Center,"703 Thoroughbred Drive Lafayette, LA 70507",-92.00943199999999,30.30477,,,,,,,1,1
9,UniversityOfLafayette,9,Ecology Center,"704 Thoroughbred Drive Lafayette, LA 70507",-92.0097669,30.304188,,,,,,,1,1
10,UniversityOfLafayette,10,Cade Farm,"1177 W.J. Bernard Rd. St. Martinville, LA 70582",-91.8698593,30.0935224,,,,,,,1,1
11,UniversityOfLafayette,11,Cade Farm,"1178 W.J. Bernard Rd. St. Martinville, LA 70582",,30.0934614,,,,,,,1,1
12,UniversityOfLafayette,12,Slemco Energy Center,"3420 NE Evangeline Throughway Lafayette, LA",-92.026336,30.303044,,,,,,,1,1
13,Lafayette Consolidated Government Offices,1,Rosa Parks Transportation Center,"101 Jefferson St. Lafayette, LA 70501",-92.01500639999999,30.2265078,,,,,,,1,2
14,Lafayette Consolidated Government Offices,2,City Hall,"705 W. University Ave Lafayette, LA 70506",-92.0247327,30.22054589999999,,,,,,,1,2
15,Lafayette Consolidated Government Offices,3,Public Works Building,"400 Dorset Ave. Lafayette, LA 70501",-92.003906,30.2114844,,,,,,,1,2
16,Lafayette Consolidated Government Offices,4,Clifton Chenier Center,"705 W. University Ave Lafayette, LA 70506",-92.0247327,30.22054589999999,,,,,,,1,2
17,Lafayette Consolidated Government Offices,5,LUS,"1314 Walker Rd, Lafayette, LA 70506-1100",-92.048464,30.23637,,,,,,,1,2
18,Lafayette Consolidated Government Offices,6,Department of Environmental Quality,"400 Dugas Rd, Lafayette, LA",-92.061082,30.286297,,,,,,,1,2
19,Lafayette Public School System,1,Acadiana Middle ,"4201 Moss Street, Lafayette, LA 70507",-92.008337,30.284651,,,,,,,0,3
20,Lafayette Public School System,2,Acadiana High,"315 Rue Du Be'Lier, Lafayette, LA 70506",-92.0910646,30.2044888,,,,,,,0,3
21,Lafayette Public School System,3,Alice Boucher Elementary,"400 Patterson Street,  Lafayette, LA 70501",-92.019491,30.24932,,,,,,,0,3
22,Lafayette Public School System,4,Broadmoore Elementary  ,"609 Broadmoor Boulevard, Lafayette, La 70503",-92.0590503,30.1725249,,,,,,,0,3
23,Lafayette Public School System,5,Broussard Middle ,"1325 S. Morgan Avenue, Broussard, LA 70518",-91.96394010000002,30.1250471,,,,,,,0,3
24,Lafayette Public School System,6,Carencro Heights Elementary ,"601 Tee Ma Road, Carencro, LA 70520",-92.04121400000001,30.316015,,,,,,,0,3
