devicenum,organization,organizationdevicenum,site,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail,mqttgateway,mqttgroup,locname,locdesc,thname,thdesc,thnetid,thdeploytime,createFoi,dssensorid,dsobspropertyid,dsname,dsdesc,dsmunit,dsmsymbol,dsmdefinition,dsobstype
1,LDEQ,1,Lafayette Air Quality Monitor,"700 Cajundome Blvd, Lafayette, LA 70506",-92.042776,30.225876,,,,,,,0,1,,,,,,,,,,,,,,,
2,UniversityOfLafayette,1,Research Park - CGI,"538 Cajundome Blvd, Lafayette, LA 70506",-92.0421154,30.2210853,,,,,,,0,2,,,,,,,,,,,,,,,
3,UniversityOfLafayette,2,Main Campus - Rex Street Bus Stop on Main Campus,"110 Rex Street, Lafayette, LA 70503",-92.0212109,30.212946,,,,,,,0,2,,,,,,,,,,,,,,,
4,UniversityOfLafayette,3,Main Campus - Taft Street Parking Garage,"714 W. Taft St. Lafayette, LA 70503",-92.0159061,30.2108141,,,,,,,0,2,,,,,,,,,,,,,,,
5,UniversityOfLafayette,4,Main Campus - Stokes Hall Parking Garage,"311 East Lewis St. Lafayette, LA 70503",-92.0219189,30.209433,,,,,,,0,2,,,,,,,,,,,,,,,
6,UniversityOfLafayette,5,Main Campus - Olivier Oarking Garage,"619 McKinley St. Lafayette, LA 70504",-92.0163517,30.2118751,,,,,,,0,2,,,,,,,,,,,,,,,
7,UniversityOfLafayette,6,Main Campus - UL Child Devleopment Center,"160 East Lewis Lafayette, LA 70504",-92.0238514,30.2108826,,,,,,,0,2,,,,,,,,,,,,,,,
8,UniversityOfLafayette,7,Ecology Center,"703 Thoroughbred Drive Lafayette, LA 70507",-92.009432,30.30477,,,,,,,0,2,,,,,,,,,,,,,,,
9,UniversityOfLafayette,8,Ecology Center,"704 Thoroughbred Drive Lafayette, LA 70507",-92.0097669,30.304188,,,,,,,0,2,,,,,,,,,,,,,,,
10,UniversityOfLafayette,9,Cade Farm,"1177 W.J. Bernard Rd. St. Martinville, LA 70582",-91.8698593,30.0935224,,,,,,,0,2,,,,,,,,,,,,,,,
